id,gid,x,y,dir_x,dir_y,radius,time
102,102,0.426538,-1.62385,0.988924,-0.114939,0.1,249.439
102,102,0.478462,-1.62615,0.988393,-0.118652,0.1,249.479
102,102,0.530385,-1.62846,0.987862,-0.122364,0.1,249.519
102,102,0.582308,-1.63077,0.987331,-0.126077,0.1,249.559
102,102,0.634231,-1.63308,0.9868,-0.129789,0.1,249.599
102,102,0.686154,-1.63538,0.986269,-0.133502,0.1,249.639
102,102,0.738077,-1.63769,0.985737,-0.137214,0.1,249.679
102,102,0.79,-1.64,0.985206,-0.140927,0.1,249.719
102,102,0.841923,-1.64231,0.984675,-0.144639,0.1,249.759
102,102,0.893846,-1.64462,0.984144,-0.148352,0.1,249.799
102,102,0.945769,-1.64692,0.983613,-0.152065,0.1,249.839
102,102,0.997692,-1.64923,0.983082,-0.155777,0.1,249.879
102,102,1.04962,-1.65154,0.982551,-0.15949,0.1,249.919
102,102,1.10154,-1.65385,0.98202,-0.163202,0.1,249.959
102,102,1.15346,-1.65615,0.981489,-0.166915,0.1,249.999
102,102,1.20538,-1.65846,0.980958,-0.170627,0.1,250.039
102,102,1.25731,-1.66077,0.980427,-0.17434,0.1,250.079
102,102,1.30923,-1.66308,0.979896,-0.178052,0.1,250.119
102,102,1.36115,-1.66538,0.979365,-0.181765,0.1,250.159
102,102,1.41308,-1.66769,0.978834,-0.185477,0.1,250.199
102,102,1.465,-1.67,0.978303,-0.18919,0.1,250.239
102,102,1.51692,-1.67231,0.977772,-0.192903,0.1,250.279
102,102,1.56885,-1.67462,0.977241,-0.196615,0.1,250.319
102,102,1.62077,-1.67692,0.97671,-0.200328,0.1,250.359
102,102,1.67269,-1.67923,0.976178,-0.20404,0.1,250.399
102,102,1.72462,-1.68154,0.975647,-0.207753,0.1,250.439
102,102,1.77654,-1.68385,0.975116,-0.211465,0.1,250.479
102,102,1.82846,-1.68615,0.974585,-0.215178,0.1,250.519
102,102,1.88038,-1.68846,0.974054,-0.21889,0.1,250.559
102,102,1.93231,-1.69077,0.973523,-0.222603,0.1,250.599
102,102,1.98423,-1.69308,0.972992,-0.226315,0.1,250.639
102,102,2.03615,-1.69538,0.972461,-0.230028,0.1,250.679
102,102,2.08808,-1.69769,0.97193,-0.233741,0.1,250.719
102,102,2.14,-1.7,0.971399,-0.237453,0.1,250.759
102,102,2.18615,-1.71128,0.971697,-0.23607,0.1,250.799
102,102,2.23231,-1.72256,0.971995,-0.234686,0.1,250.839
102,102,2.27846,-1.73385,0.972293,-0.233303,0.1,250.879
102,102,2.32462,-1.74513,0.972591,-0.231919,0.1,250.919
102,102,2.37077,-1.75641,0.972889,-0.230536,0.1,250.959
102,102,2.41692,-1.76769,0.973187,-0.229152,0.1,250.999
102,102,2.46308,-1.77897,0.973485,-0.227769,0.1,251.039
102,102,2.50923,-1.79026,0.973783,-0.226385,0.1,251.079
102,102,2.55538,-1.80154,0.974081,-0.225002,0.1,251.119
102,102,2.60154,-1.81282,0.974379,-0.223618,0.1,251.159
102,102,2.64769,-1.8241,0.974677,-0.222235,0.1,251.199
102,102,2.69385,-1.83538,0.974975,-0.220851,0.1,251.239
102,102,2.74,-1.84667,0.975273,-0.219468,0.1,251.279
102,102,2.78615,-1.85795,0.975571,-0.218084,0.1,251.319
102,102,2.83231,-1.86923,0.975869,-0.216701,0.1,251.359
102,102,2.87846,-1.88051,0.976167,-0.215317,0.1,251.399
102,102,2.92462,-1.89179,0.976465,-0.213934,0.1,251.439
102,102,2.97077,-1.90308,0.976763,-0.21255,0.1,251.479
102,102,3.01692,-1.91436,0.977061,-0.211167,0.1,251.519
102,102,3.06308,-1.92564,0.977359,-0.209783,0.1,251.559
102,102,3.10923,-1.93692,0.977657,-0.2084,0.1,251.599
102,102,3.15538,-1.94821,0.977955,-0.207016,0.1,251.639
102,102,3.20154,-1.95949,0.978253,-0.205633,0.1,251.679
102,102,3.24769,-1.97077,0.978551,-0.204249,0.1,251.719
102,102,3.29385,-1.98205,0.978849,-0.202866,0.1,251.758
102,102,3.34,-1.99333,0.979146,-0.201482,0.1,251.798
